date,event_type,description
2018-08-07,positive,Funding secured tweet (go-private at $420) – publicity shock
2018-08-17,negative,SEC investigation announced after funding secured tweet
2018-09-07,negative,Joe Rogan podcast clip airs; exec departures reported
2018-09-27,negative,SEC lawsuit filed against Musk; contempt charges
2018-10-04,positive,Settlement with SEC announced; Musk steps down as chairman
2019-02-19,negative,SEC asks judge to hold Musk in contempt over tweets
2019-04-11,positive,Autonomy Day event - bullish self-driving claims
2019-10-23,positive,Surprise Q3 profit announced; stock surges
2020-01-29,positive,Q4 earnings beat expectations; Cybertruck hype
2020-02-03,positive,Tesla stock crosses $900; massive rally
2020-02-19,negative,Stock drops 17% in one day after peak at $968
2020-03-18,negative,COVID-19 shutdown; factory defiance controversy
2020-05-01,negative,"Tesla stock price is too high imo" tweet
2020-07-22,positive,Q2 earnings beat; 4th consecutive profitable quarter
2020-12-21,positive,Tesla added to S&P 500 index
